ID;Age;Gender;Job;Area;CitySize;FamilySize;Income;Wealth;Debt;FinEdu;ESG;Digital;BankFriend;LifeStyle;Luxury;Saving;Investments
1;24;1;1;2;2;4;0.668045651119107;0.702786210212286;0.262070421105178;0.741852500764603;0.483684011032212;0.69862463990698;0.618259418428073;0.607876821131981;0.897369438730564;0.283221632808238;1
2;47;1;2;2;3;1;0.858453109855299;0.915043239495332;0.730430318950664;0.859422992865992;0.537166682873168;0.959024697760323;0.785936372820618;0.862271234112317;0.913728690767188;0.821589619759595;3
3;38;0;2;1;2;2;0.926817750555601;0.898315550948213;0.441272315724529;0.485953442362271;0.649433562919494;0.750265400932327;0.699724934786834;0.755403873369226;0.765198897899842;0.503789814837953;3
4;67;0;2;1;2;3;0.538796996351605;0.423179751273434;0.600401086115306;0.493143716527721;0.533829201214004;0.590165185675477;0.67535338582275;0.334432235685419;0.517208772771824;0.691239797915646;2
5;33;0;2;1;3;1;0.806658514391338;0.731403839862744;0.831449459800001;0.856286403667297;0.784939867121764;0.710025596067495;0.758793060083235;0.908878184422363;0.611610267793463;0.615915654947775;2
6;81;0;2;1;3;4;0.461679712722774;0.380242890650287;0.490726984186957;0.212120404243856;0.422747813297004;0.346737836469269;0.364808265049512;0.30730980450999;0.500848917278271;0.473036152319392;3
7;20;1;1;1;3;3;0.654672074196761;0.539156166051633;0.0864492387701425;0.176028306560531;0.220581586465152;0.682363134762361;0.542119167396127;0.854400522420416;0.73648682509859;0.4272748567542;1
8;90;1;3;1;1;3;0.467880142112244;0.390456404488184;0.515146340494235;0.565612379423845;0.431132182873356;0.48066780930726;0.620122061319665;0.226242412619335;0.139617605045006;0.749447026721555;2
9;41;1;3;1;2;1;0.387016235152804;0.396110535809959;0.478331887127835;0.455602017536942;0.5717398974356;0.456114269033938;0.281756199010609;0.297445716474319;0.342948159649169;0.309756806453004;2
10;56;0;2;1;3;2;0.745981299291484;0.942403472366749;0.61139125813944;0.613725293509608;0.636862427566548;0.797150265402316;0.849669484184308;0.837387589065088;0.816057087546071;0.552441053631965;2
11;84;0;1;1;2;3;0.660763687567005;0.568864940563321;0.264600080237712;0.637035510817606;0.700715642785232;0.250767731973615;0.474535796355694;0.183894930197669;0.302430629497492;0.415849116724636;3
12;86;1;2;3;2;3;0.297649862534846;0.44205501447821;0.658694038128662;0.293308496199012;0.602556727003157;0.121479583192262;0.699541013978559;0.174258029378819;0.349994274515074;0.300376170877859;2
13;70;1;2;1;3;2;0.430165086176151;0.314557357345363;0.59147435904508;0.494019654717869;0.488203539129984;0.375736000579537;0.625707495544146;0.34428417864699;0.228890209252127;0.813935208465645;1
14;46;1;2;1;2;1;0.49246683546967;0.222140317594337;0.605767645115446;0.425444459752649;0.199203365287922;0.258159940435932;0.5684851754115;0.155173957864343;0.416262122599827;0.470263279795225;1
15;48;0;2;1;1;4;0.589416833725202;0.613778878488159;0.331510878991773;0.546012529923626;0.563884884175694;0.412240360510614;0.706999615914613;0.297594512431999;0.52717698671158;0.255344297711742;3
16;71;1;5;1;1;3;0.904616410753877;0.890678872741439;0.148219770279662;0.301015829345566;0.761472556232004;0.0710574955277569;0.942390192707347;0.109389087948948;0.508185381519299;0.526992193964298;3
17;84;0;2;1;1;3;0.324187302499013;0.635691977386973;0.588149927934387;0.309276077731204;0.666199312087593;0.528829390941051;0.620122910264017;0.275516088805807;0.371046402943609;0.688366653058444;1
18;93;1;2;1;3;2;0.709726219757421;0.644786229298302;0.505746527944958;0.46830900182981;0.486634966299341;0.450004886816542;0.74110501811495;0.515296759534833;0.0693890126895185;0.583856457530718;1
